LIBELLE;CYCLE;N° COMPTE;DOMICILIATION;GROUPE SCOLAIRE;COMMUNE;REGION;DREN;IEPP
GRAND MOUTCHO  4 MAT ;;;;;;;AGBOVILLE;AGBOVILLE 1
GRAND MOUTCHO 1 2;;;;;;;AGBOVILLE;AGBOVILLE 1
GRAND YAPO 1 2 MAT ;;;;;;;AGBOVILLE;AGBOVILLE 1
GRAND YAPO 4;;;;;;;AGBOVILLE;AGBOVILLE 1
LAOGUIE 1 3 MAT ;;;;;;;AGBOVILLE;AGBOVILLE 1
LAOGUIE 2;;;;;;;AGBOVILLE;AGBOVILLE 1
OBODJIKRO 1 2 3 5 SAMBREGNANKRO;;;;;;;AGBOVILLE;AGBOVILLE 1
OBODJIKRO 4 MAT ;;;;;;;AGBOVILLE;AGBOVILLE 1
PETIT YAPO  MATERNELLE;;;;;;;AGBOVILLE;AGBOVILLE 1
RAN ADAHOU 1 2;;;;;;;AGBOVILLE;AGBOVILLE 1
TP 1 2 MAT ;;;;;;;AGBOVILLE;AGBOVILLE 1
YAPO GARE 1 4 MAT ;;;;;;;AGBOVILLE;AGBOVILLE 1
YAPO GARE 2;;;;;;;AGBOVILLE;AGBOVILLE 1
YAPO GARE 3;;;;;;;AGBOVILLE;AGBOVILLE 1
ABOUDE BOGNANDE ;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE DADIE ;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE KOUASSIKRO 1   MATERNELLE ;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE KOUASSIKRO 2;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE KOUASSIKRO 3;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE KOUASSIKRO 4;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE KOUASSIKRO 5 6;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE MANDEKE 1 MATERNELLE ;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE MANDEKE 2;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE MANDEKE 3;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE MANDEKE 4 5 MATERNELLE;;;;;;;AGBOVILLE;AGBOVILLE 2
ABOUDE NOUVEAU QUARTIER ;;;;;;;AGBOVILLE;AGBOVILLE 2
ANGOH MATERNELLE;;;;;;;AGBOVILLE;AGBOVILLE 2
ANNO 1;;;;;;;AGBOVILLE;AGBOVILLE 2
ANNO 2 3;;;;;;;AGBOVILLE;AGBOVILLE 2
ANNO 4;;;;;;;AGBOVILLE;AGBOVILLE 2
ANNO 5;;;;;;;AGBOVILLE;AGBOVILLE 2
ANNO 6;;;;;;;AGBOVILLE;AGBOVILLE 2
BABIAHAN ;;;;;;;AGBOVILLE;AGBOVILLE 2
BOA VINCENT ;;;;;;;AGBOVILLE;AGBOVILLE 2
BOKAHO 1 2;;;;;;;AGBOVILLE;AGBOVILLE 2
BOKAHO 3;;;;;;;AGBOVILLE;AGBOVILLE 2
BONIKRO A;;;;;;;AGBOVILLE;AGBOVILLE 2
DIOULAKRO 3  MATERNELLE ;;;;;;;AGBOVILLE;AGBOVILLE 2
DJOMOKRO ;;;;;;;AGBOVILLE;AGBOVILLE 2
EKISSI HO ;;;;;;;AGBOVILLE;AGBOVILLE 2
GANTOIS 1 2 3 4 MATERNELLE ;;;;;;;AGBOVILLE;AGBOVILLE 2
JEAN KONAN PAUQUOUD  DIOULAKRO 4  MATERNELLE ;;;;;;;AGBOVILLE;AGBOVILLE 2
KOUADJAKRO ;;;;;;;AGBOVILLE;AGBOVILLE 2
MATERNELLE ABOUDE KOUASSIKRO 4;;;;;;;AGBOVILLE;AGBOVILLE 2
N CHOMPO ;;;;;;;AGBOVILLE;AGBOVILLE 2
N DRIKRO ;;;;;;;AGBOVILLE;AGBOVILLE 2
OFFA 1 3  MATERNELLE ;;;;;;;AGBOVILLE;AGBOVILLE 2
OFFA 2 4;;;;;;;AGBOVILLE;AGBOVILLE 2
OFFOUMPO 1 2 3;;;;;;;AGBOVILLE;AGBOVILLE 2
OFFOUMPO 4;;;;;;;AGBOVILLE;AGBOVILLE 2
POYOKRO ;;;;;;;AGBOVILLE;AGBOVILLE 2
SOKOURADJAN 1 2 3 4 MATERNELLE ;;;;;;;AGBOVILLE;AGBOVILLE 2
SOKOURADJAN ANNEXE  MATERNELLE ;;;;;;;AGBOVILLE;AGBOVILLE 2
ADAHOU EXTENSION 1 2   MAT;;;;;;;AGBOVILLE;AGBOVILLE 3
ADAHOU VILLAGE;;;;;;;AGBOVILLE;AGBOVILLE 3
DINGBE;;;;;;;AGBOVILLE;AGBOVILLE 3
DIOULAKRO 1;;;;;;;AGBOVILLE;AGBOVILLE 3
DIOULAKRO 2;;;;;;;AGBOVILLE;AGBOVILLE 3
EHOUEGUIE 1;;;;;;;AGBOVILLE;AGBOVILLE 3
EHOUEGUIE 2;;;;;;;AGBOVILLE;AGBOVILLE 3
GBESSE 1 2   MAT;;;;;;;AGBOVILLE;AGBOVILLE 3
LOVIGUIE 2 4;;;;;;;AGBOVILLE;AGBOVILLE 3
LOVIGUIE1 ET 3;;;;;;;AGBOVILLE;AGBOVILLE 3
M  BROU 2;;;;;;;AGBOVILLE;AGBOVILLE 3
M BROU 1;;;;;;;AGBOVILLE;AGBOVILLE 3
M BROU 3;;;;;;;AGBOVILLE;AGBOVILLE 3
MATERNELLE ENFANCE ESPOIR;;;;;;;AGBOVILLE;AGBOVILLE 3
MATERNELLE POUSSINS 1ET 2;;;;;;;AGBOVILLE;AGBOVILLE 3
MEDINA KOURANI PLATEAU 6;;;;;;;AGBOVILLE;AGBOVILLE 3
NESCAFE;;;;;;;AGBOVILLE;AGBOVILLE 3
OFFORIGUIE;;;;;;;AGBOVILLE;AGBOVILLE 3
ORESS KROBOU 3 ET 4;;;;;;;AGBOVILLE;AGBOVILLE 3
ORRES KROBOU 1 ET 2;;;;;;;AGBOVILLE;AGBOVILLE 3
OTTOPE 1A;;;;;;;AGBOVILLE;AGBOVILLE 3
OTTOPE 1B;;;;;;;AGBOVILLE;AGBOVILLE 3
OTTOPE 2;;;;;;;AGBOVILLE;AGBOVILLE 3
OUANGUIE;;;;;;;AGBOVILLE;AGBOVILLE 3
PLATEAU 1;;;;;;;AGBOVILLE;AGBOVILLE 3
PLATEAU 2;;;;;;;AGBOVILLE;AGBOVILLE 3
PLATEAU 3;;;;;;;AGBOVILLE;AGBOVILLE 3
PLATEAU 4;;;;;;;AGBOVILLE;AGBOVILLE 3
PLATEAU 5  MATERNELLE;;;;;;;AGBOVILLE;AGBOVILLE 3
WAHIN 1 ET 2;;;;;;;AGBOVILLE;AGBOVILLE 3
ABBE BEGNINI;;;;;;;AGBOVILLE;AZAGUIE
ACHIEKOI;;;;;;;AGBOVILLE;AZAGUIE
AKE BEFIAT;;;;;;;AGBOVILLE;AZAGUIE
ATTEHOU;;;;;;;AGBOVILLE;AZAGUIE
AZAGUIE  AHOUA 5;;;;;;;AGBOVILLE;AZAGUIE
AZAGUIE AHOUA 1 2 3 MATERNELLE;;;;;;;AGBOVILLE;AZAGUIE
AZAGUIE AHOUA 4;;;;;;;AGBOVILLE;AZAGUIE
AZAGUIE BAMBOU;;;;;;;AGBOVILLE;AZAGUIE
AZAGUIE GARE 1A  1B  2A  2B  MATERNELLE;;;;;;;AGBOVILLE;AZAGUIE
AZAGUIE GARE 3A 3B;;;;;;;AGBOVILLE;AZAGUIE
AZAGUIE M BROME;;;;;;;AGBOVILLE;AZAGUIE
AZAGUIE MAKOUGUIE;;;;;;;AGBOVILLE;AZAGUIE
DONKOI;;;;;;;AGBOVILLE;AZAGUIE
ELEVI 2;;;;;;;AGBOVILLE;AZAGUIE
ELEVI1;;;;;;;AGBOVILLE;AZAGUIE
GUESSIGUIE 3;;;;;;;AGBOVILLE;AZAGUIE
GUESSIGUIE1 2 4 MATERNELLE;;;;;;;AGBOVILLE;AZAGUIE
IRFA AZAGUIE;;;;;;;AGBOVILLE;AZAGUIE
JEAN EGLIN;;;;;;;AGBOVILLE;AZAGUIE
KASSIGUIE;;;;;;;AGBOVILLE;AZAGUIE
MATERNELLE AZAGUIE BAMBOU;;;;;;;AGBOVILLE;AZAGUIE
MATERNELLE SAINTE THERESE;;;;;;;AGBOVILLE;AZAGUIE
ODOGUIE;;;;;;;AGBOVILLE;AZAGUIE
ACHO;;;;;;;AGBOVILLE;GRAND MORIE
ADAMAKRO GRAND MORIE;;;;;;;AGBOVILLE;GRAND MORIE
AGOUHAHIIN  MATERNELLE;;;;;;;AGBOVILLE;GRAND MORIE
ARRAGUIE 1 3  MATERNELLE;;;;;;;AGBOVILLE;GRAND MORIE
ARRAGUIE 2;;;;;;;AGBOVILLE;GRAND MORIE
ARRAGUIE4;;;;;;;AGBOVILLE;GRAND MORIE
ATTOBROU 1;;;;;;;AGBOVILLE;GRAND MORIE
ATTOBROU 2  4  6  MATERNELLE;;;;;;;AGBOVILLE;GRAND MORIE
ATTOBROU 3;;;;;;;AGBOVILLE;GRAND MORIE
ATTOBROU 5;;;;;;;AGBOVILLE;GRAND MORIE
BOGUIE 1  2;;;;;;;AGBOVILLE;GRAND MORIE
CACAOTOU;;;;;;;AGBOVILLE;GRAND MORIE
COPA;;;;;;;AGBOVILLE;GRAND MORIE
COULIBALY;;;;;;;AGBOVILLE;GRAND MORIE
GRAND MORIE 1 3;;;;;;;AGBOVILLE;GRAND MORIE
GRAND MORIE 2;;;;;;;AGBOVILLE;GRAND MORIE
GRAND MORIE 4  MATERNELLE;;;;;;;AGBOVILLE;GRAND MORIE
GRAND MORIE 5  MATERNELLE;;;;;;;AGBOVILLE;GRAND MORIE
LAPO 2;;;;;;;AGBOVILLE;GRAND MORIE
LAPO1;;;;;;;AGBOVILLE;GRAND MORIE
MAFOU;;;;;;;AGBOVILLE;GRAND MORIE
MBATTRA 1;;;;;;;AGBOVILLE;GRAND MORIE
MBATTRA 2  MATERNELLE;;;;;;;AGBOVILLE;GRAND MORIE
MBERIE 1 2 3 MATERNELLE;;;;;;;AGBOVILLE;GRAND MORIE
OKOUGUIE;;;;;;;AGBOVILLE;GRAND MORIE
SEGUIE 2;;;;;;;AGBOVILLE;GRAND MORIE
SEGUIE1  MATERNELLE;;;;;;;AGBOVILLE;GRAND MORIE
VICTORINE;;;;;;;AGBOVILLE;GRAND MORIE
YADIO 2;;;;;;;AGBOVILLE;GRAND MORIE
YADIO 3  MATERNELLE;;;;;;;AGBOVILLE;GRAND MORIE
YADIO1;;;;;;;AGBOVILLE;GRAND MORIE
ACHI BROUHO;;;;;;;AGBOVILLE;RUBINO
ADOMOKRO;;;;;;;AGBOVILLE;RUBINO
AKE DOUANIER 1 2;;;;;;;AGBOVILLE;RUBINO
ALANYKRO1 2 3;;;;;;;AGBOVILLE;RUBINO
ALLEPILA;;;;;;;AGBOVILLE;RUBINO
AMANGBEU1 4;;;;;;;AGBOVILLE;RUBINO
AMANGBEU2;;;;;;;AGBOVILLE;RUBINO
AMANGBEU3;;;;;;;AGBOVILLE;RUBINO
AMANI N GUESSANKRO;;;;;;;AGBOVILLE;RUBINO
ANANGUIE 1 2 3;;;;;;;AGBOVILLE;RUBINO
ANANGUIE 4 5;;;;;;;AGBOVILLE;RUBINO
BALET OHO;;;;;;;AGBOVILLE;RUBINO
BANGUIE 2;;;;;;;AGBOVILLE;RUBINO
BEDE N GORAN M PO;;;;;;;AGBOVILLE;RUBINO
BONIKRO CECHI;;;;;;;AGBOVILLE;RUBINO
BROU M PO;;;;;;;AGBOVILLE;RUBINO
CECHI 4;;;;;;;AGBOVILLE;RUBINO
CECHI1 2 3;;;;;;;AGBOVILLE;RUBINO
DEY OBODJE;;;;;;;AGBOVILLE;RUBINO
ESSEGNON;;;;;;;AGBOVILLE;RUBINO
GOUABO 2;;;;;;;AGBOVILLE;RUBINO
GOUABO1;;;;;;;AGBOVILLE;RUBINO
GOUABO3   MATERNELLE;;;;;;;AGBOVILLE;RUBINO
GOUABO4;;;;;;;AGBOVILLE;RUBINO
JACQUES BODOUX;;;;;;;AGBOVILLE;RUBINO
KEDJEM PO;;;;;;;AGBOVILLE;RUBINO
KHAMA BROUX;;;;;;;AGBOVILLE;RUBINO
KOTCHIMPO;;;;;;;AGBOVILLE;RUBINO
KOUAMEKRO;;;;;;;AGBOVILLE;RUBINO
MISSIDJEMERE;;;;;;;AGBOVILLE;RUBINO
OUELLEZUE 1 2;;;;;;;AGBOVILLE;RUBINO
RUBINO 1 5   MATERNELLE;;;;;;;AGBOVILLE;RUBINO
RUBINO 2;;;;;;;AGBOVILLE;RUBINO
RUBINO 3;;;;;;;AGBOVILLE;RUBINO
RUBINO 4;;;;;;;AGBOVILLE;RUBINO
RUBINO MATERNELLE;;;;;;;AGBOVILLE;RUBINO
SEGBEVI;;;;;;;AGBOVILLE;RUBINO
TRENOU;;;;;;;AGBOVILLE;RUBINO
ZOUBROU;;;;;;;AGBOVILLE;RUBINO
ABOKRO;;;;;;;BONDOUKOU;ASSUEFRY
ADANDIA 1;;;;;;;BONDOUKOU;ASSUEFRY
ADANDIA 2;;;;;;;BONDOUKOU;ASSUEFRY
AMONKOBENANKRO;;;;;;;BONDOUKOU;ASSUEFRY
ASSUEFRY 1;;;;;;;BONDOUKOU;ASSUEFRY
ASSUEFRY 2;;;;;;;BONDOUKOU;ASSUEFRY
ASSUEFRY 3;;;;;;;BONDOUKOU;ASSUEFRY
ASSUEFRY MUNICIPALITE 1;;;;;;;BONDOUKOU;ASSUEFRY
ASSUEFRY MUNICIPALITE 2;;;;;;;BONDOUKOU;ASSUEFRY
BAKOUTIE FOUMASSA;;;;;;;BONDOUKOU;ASSUEFRY
BOSSOMKUKRO;;;;;;;BONDOUKOU;ASSUEFRY
DADIASSE 1;;;;;;;BONDOUKOU;ASSUEFRY
DADIASSE 2;;;;;;;BONDOUKOU;ASSUEFRY
DATEKRO;;;;;;;BONDOUKOU;ASSUEFRY
HIANGO 1;;;;;;;BONDOUKOU;ASSUEFRY
HIANGO 2;;;;;;;BONDOUKOU;ASSUEFRY
KEKERENI 1   2;;;;;;;BONDOUKOU;ASSUEFRY
KOUAKOU DAPAKRO;;;;;;;BONDOUKOU;ASSUEFRY
KOUAME DARI;;;;;;;BONDOUKOU;ASSUEFRY
KOUASSI SERANOU;;;;;;;BONDOUKOU;ASSUEFRY
MANTOUKOUA ASSUEFRY;;;;;;;BONDOUKOU;ASSUEFRY
MATERNELLE ASSUEFRY;;;;;;;BONDOUKOU;ASSUEFRY
MATERNELLE DADIASSE;;;;;;;BONDOUKOU;ASSUEFRY
MATERNELLE HIANGO ;;;;;;;BONDOUKOU;ASSUEFRY
MATERNELLE KEKERENI;;;;;;;BONDOUKOU;ASSUEFRY
MATERNELLE KOUASSI SERANOU;;;;;;;BONDOUKOU;ASSUEFRY
MATERNELLE MUNICIPALE ASSUEFRY;;;;;;;BONDOUKOU;ASSUEFRY
MATERNELLE SIEDJA;;;;;;;BONDOUKOU;ASSUEFRY
MEREKOU ;;;;;;;BONDOUKOU;ASSUEFRY
MEREKOU 2;;;;;;;BONDOUKOU;ASSUEFRY
N GAM;;;;;;;BONDOUKOU;ASSUEFRY
SIEDJA;;;;;;;BONDOUKOU;ASSUEFRY
YAKASSE;;;;;;;BONDOUKOU;ASSUEFRY
YAODONGOKRO;;;;;;;BONDOUKOU;ASSUEFRY
YAOKRAKRO;;;;;;;BONDOUKOU;ASSUEFRY
YAOKRO ASSUEFRY;;;;;;;BONDOUKOU;ASSUEFRY
YOMANKRO;;;;;;;BONDOUKOU;ASSUEFRY
YOMANKRO 2;;;;;;;BONDOUKOU;ASSUEFRY
YOMANKRO BONDOUKOU;;;;;;;BONDOUKOU;ASSUEFRY
YOMIAN;;;;;;;BONDOUKOU;ASSUEFRY
AHECORO JULES DE TISSIE;;;;;;;BONDOUKOU;BONDOUKOU 1
ASSUAGNI KPALISSE KOUTOU;;;;;;;BONDOUKOU;BONDOUKOU 1
BOKORI;;;;;;;BONDOUKOU;BONDOUKOU 1
BONDOUKOU BAD KAMAGAYA;;;;;;;BONDOUKOU;BONDOUKOU 1
BONDOUKOU CENTRE 1 2;;;;;;;BONDOUKOU;BONDOUKOU 1
BONDOUKOU EST 1 2 3 4;;;;;;;BONDOUKOU;BONDOUKOU 1
BONDOUKOU PLATEAU 1 2;;;;;;;BONDOUKOU;BONDOUKOU 1
BONDOUKOU RESIDENTIEL 1 2 3;;;;;;;BONDOUKOU;BONDOUKOU 1
BOROMBA 1;;;;;;;BONDOUKOU;BONDOUKOU 1
BOROMBA 2;;;;;;;BONDOUKOU;BONDOUKOU 1
BOROMBA 3;;;;;;;BONDOUKOU;BONDOUKOU 1
DIGOWERI;;;;;;;BONDOUKOU;BONDOUKOU 1
DONZOSSO 1 2;;;;;;;BONDOUKOU;BONDOUKOU 1
EL BANITEIM 1 2 3 4;;;;;;;BONDOUKOU;BONDOUKOU 1
EL FALAH 1 2;;;;;;;BONDOUKOU;BONDOUKOU 1
GAHIMI;;;;;;;BONDOUKOU;BONDOUKOU 1
GBAGNAGASSIE;;;;;;;BONDOUKOU;BONDOUKOU 1
GBAKI;;;;;;;BONDOUKOU;BONDOUKOU 1
GUIMINI;;;;;;;BONDOUKOU;BONDOUKOU 1
KIENDI BA 1 2;;;;;;;BONDOUKOU;BONDOUKOU 1
KOKE;;;;;;;BONDOUKOU;BONDOUKOU 1
KOUASSI N DAWA 1 2;;;;;;;BONDOUKOU;BONDOUKOU 1
KOUASSI N DAWA 3;;;;;;;BONDOUKOU;BONDOUKOU 1
MATERNELLE KOUASSI N DAWA;;;;;;;BONDOUKOU;BONDOUKOU 1
MATERNELLE SOKO;;;;;;;BONDOUKOU;BONDOUKOU 1
MOTIAMO 1 2;;;;;;;BONDOUKOU;BONDOUKOU 1
MOTIAMO 3;;;;;;;BONDOUKOU;BONDOUKOU 1
NAGABARE GBOKO;;;;;;;BONDOUKOU;BONDOUKOU 1
NANA BIBI 2;;;;;;;BONDOUKOU;BONDOUKOU 1
POUGOUVAGNE;;;;;;;BONDOUKOU;BONDOUKOU 1
SABI;;;;;;;BONDOUKOU;BONDOUKOU 1
SEREOUDE 1;;;;;;;BONDOUKOU;BONDOUKOU 1
SEREOUDE 2;;;;;;;BONDOUKOU;BONDOUKOU 1
SIMILIMI;;;;;;;BONDOUKOU;BONDOUKOU 1
SIPAH;;;;;;;BONDOUKOU;BONDOUKOU 1
SOGOBO;;;;;;;BONDOUKOU;BONDOUKOU 1
SOKO 1 4;;;;;;;BONDOUKOU;BONDOUKOU 1
SOKO 2 3;;;;;;;BONDOUKOU;BONDOUKOU 1
SONGORI 1 ET MATERNELLE;;;;;;;BONDOUKOU;BONDOUKOU 1
SONGORI 2;;;;;;;BONDOUKOU;BONDOUKOU 1
TAKOUTOU;;;;;;;BONDOUKOU;BONDOUKOU 1
TOMOGOSSIE;;;;;;;BONDOUKOU;BONDOUKOU 1
WELEKEHI 1 2;;;;;;;BONDOUKOU;BONDOUKOU 1
ABEMA;;;;;;;BONDOUKOU;BONDOUKOU 2
ADOUM KROUM;;;;;;;BONDOUKOU;BONDOUKOU 2
AFFOUAVAME;;;;;;;BONDOUKOU;BONDOUKOU 2
ALLIAGUI 1 2;;;;;;;BONDOUKOU;BONDOUKOU 2
APPIMANDOUM 1 2;;;;;;;BONDOUKOU;BONDOUKOU 2
ATTRAME;;;;;;;BONDOUKOU;BONDOUKOU 2
BAD ZANZAN 1 2;;;;;;;BONDOUKOU;BONDOUKOU 2
BIDIO LOLOHUI;;;;;;;BONDOUKOU;BONDOUKOU 2
BOHI;;;;;;;BONDOUKOU;BONDOUKOU 2
BONDOUKOU SUD 1 2 3;;;;;;;BONDOUKOU;BONDOUKOU 2
BOROKO;;;;;;;BONDOUKOU;BONDOUKOU 2
BOUADAM;;;;;;;BONDOUKOU;BONDOUKOU 2
BOUATIA;;;;;;;BONDOUKOU;BONDOUKOU 2
BOUDI;;;;;;;BONDOUKOU;BONDOUKOU 2
DJOM;;;;;;;BONDOUKOU;BONDOUKOU 2
DOUMASSI;;;;;;;BONDOUKOU;BONDOUKOU 2
DUAKOUAME;;;;;;;BONDOUKOU;BONDOUKOU 2
GOLY;;;;;;;BONDOUKOU;BONDOUKOU 2
GOUMERE 1 2  MATERNELLE;;;;;;;BONDOUKOU;BONDOUKOU 2
GOUMERE 3 4;;;;;;;BONDOUKOU;BONDOUKOU 2
GOUN FRANCOIS GERMAIN 1 2;;;;;;;BONDOUKOU;BONDOUKOU 2
HEREBO 1 2;;;;;;;BONDOUKOU;BONDOUKOU 2
KANASSE;;;;;;;BONDOUKOU;BONDOUKOU 2
KANDIA CAMARA BONDOUKOU;;;;;;;BONDOUKOU;BONDOUKOU 2
KARAKO 1   MATERNELLE;;;;;;;BONDOUKOU;BONDOUKOU 2
KARAKO 2;;;;;;;BONDOUKOU;BONDOUKOU 2
KEREBIO DOMIABRA;;;;;;;BONDOUKOU;BONDOUKOU 2
KEREBIO KESSE;;;;;;;BONDOUKOU;BONDOUKOU 2
KIKIWERE;;;;;;;BONDOUKOU;BONDOUKOU 2
KINKUA;;;;;;;BONDOUKOU;BONDOUKOU 2
KOBOKO 1 2 MATERNELLE;;;;;;;BONDOUKOU;BONDOUKOU 2
KONE HILIASSOU;;;;;;;BONDOUKOU;BONDOUKOU 2
KOUFOUO;;;;;;;BONDOUKOU;BONDOUKOU 2
LAMIZANA MAMADOU 1 2 3 MATERNELLE;;;;;;;BONDOUKOU;BONDOUKOU 2
MALAGA MATERNELLE;;;;;;;BONDOUKOU;BONDOUKOU 2
MANTOUKOUA BONDOUKOU 2;;;;;;;BONDOUKOU;BONDOUKOU 2
MATERNELLE FOFIEKROMAN ;;;;;;;BONDOUKOU;BONDOUKOU 2
MATERNELLE HEREBO;;;;;;;BONDOUKOU;BONDOUKOU 2
MATERNELLE MUNICIPALITE 1 2;;;;;;;BONDOUKOU;BONDOUKOU 2
MERE  MATERNELLE;;;;;;;BONDOUKOU;BONDOUKOU 2
MESSOU KOUABLAN ARSENE;;;;;;;BONDOUKOU;BONDOUKOU 2
METY;;;;;;;BONDOUKOU;BONDOUKOU 2
N GUETTIAKRO;;;;;;;BONDOUKOU;BONDOUKOU 2
NAKAWA;;;;;;;BONDOUKOU;BONDOUKOU 2
NANGNONGO;;;;;;;BONDOUKOU;BONDOUKOU 2
PINDA 1 2;;;;;;;BONDOUKOU;BONDOUKOU 2
SANGUEHI BONDOUKOU 2;;;;;;;BONDOUKOU;BONDOUKOU 2
SIAGO;;;;;;;BONDOUKOU;BONDOUKOU 2
ZANZAN 1 ET 2;;;;;;;BONDOUKOU;BONDOUKOU 2
ABOKRO BONDOUKOU;;;;;;;BONDOUKOU;KOUN-FAO
ADOUKRO;;;;;;;BONDOUKOU;KOUN-FAO
AKRASSIKRO;;;;;;;BONDOUKOU;KOUN-FAO
ANOKIKRO;;;;;;;BONDOUKOU;KOUN-FAO
ASSINDI;;;;;;;BONDOUKOU;KOUN-FAO
BRAYE;;;;;;;BONDOUKOU;KOUN-FAO
DJATOKRO;;;;;;;BONDOUKOU;KOUN-FAO
DODOASSUE;;;;;;;BONDOUKOU;KOUN-FAO
DOKANOU;;;;;;;BONDOUKOU;KOUN-FAO
KANGAKRO BONDOUKOU;;;;;;;BONDOUKOU;KOUN-FAO
KONGONIKRO;;;;;;;BONDOUKOU;KOUN-FAO
KORIA 1 KOFFI EUGENE;;;;;;;BONDOUKOU;KOUN-FAO
KOTOGANDA 1;;;;;;;BONDOUKOU;KOUN-FAO
KOTOGANDA 2;;;;;;;BONDOUKOU;KOUN-FAO
KOUN ABRONSO;;;;;;;BONDOUKOU;KOUN-FAO
KOUN FAO 1 BAD 1 MATERNELLE;;;;;;;BONDOUKOU;KOUN-FAO
KOUN FAO 2 BAD 2 MATERNELLE;;;;;;;BONDOUKOU;KOUN-FAO
KOUN FAO MUNICIPALITE;;;;;;;BONDOUKOU;KOUN-FAO
MEME;;;;;;;BONDOUKOU;KOUN-FAO
N GORATO 1 2 MATERNELLE;;;;;;;BONDOUKOU;KOUN-FAO
OUATTE 1;;;;;;;BONDOUKOU;KOUN-FAO
OUATTE 2;;;;;;;BONDOUKOU;KOUN-FAO
OULAYES FRANCOIS;;;;;;;BONDOUKOU;KOUN-FAO
PETIT ABIDJAN;;;;;;;BONDOUKOU;KOUN-FAO
TANOKOFFIKRO;;;;;;;BONDOUKOU;KOUN-FAO
YABRASSO;;;;;;;BONDOUKOU;KOUN-FAO
YAOBADOUKRO;;;;;;;BONDOUKOU;KOUN-FAO
YOBOUAKRO;;;;;;;BONDOUKOU;KOUN-FAO
ABOKOSSO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
ABONGUI MOROKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
ABONGUI TIEKONIYAOKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
AFFERY;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
AMAPO KOUASSIKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
COMOEKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
DABOKITIRA;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
DABOYAOKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
DIABOKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
DJORO DJORO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
DOMOROSSI 1;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
DOMOROSSI 2;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
GUINANKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KODJINAN;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOMAMBO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOTRONOU;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOUADJAKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOUAKOU KRAKRO 1;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOUAKOU KRAKRO 2;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOUAKRO  BOVENSO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOUASSI BILEKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOUASSI DATEKRO 1;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOUASSI DATEKRO 2;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOUASSI DATEKRO 3;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KOUASSI DATEKRO 4;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KRAKRO 1;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
KRAKRO 2;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
MATERNELLE KOUASSI DATEKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
MISSOUMIHIAN 1 2;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
MORSANKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
N DAKRO BONDOUKOU;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
NAMBO  DONGBO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
OUROUTARA 1 2;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
SENANDE;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
YAKASSE BINI 1;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
YAKASSE BINI 2;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
YAKASSE BINI 3;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
YAOBILEKRO;;;;;;;BONDOUKOU;KOUASSI-DATEKRO
