LIBELLE;CYCLE;N° COMPTE;DOMICILIATION;GROUPE SCOLAIRE;COMMUNE;REGION;DREN;IEPP
AGNI EST 1 2 3;;;;;;;ABENGOUROU;AGNIBILEKROU
AGNI OUEST 1 2 3 4;;;;;;;ABENGOUROU;AGNIBILEKROU
AGNI OUEST EXTENSION 1 2 ET MATERNELLE;;;;;;;ABENGOUROU;AGNIBILEKROU
AGNI PLATEAU 1 2 3 4;;;;;;;ABENGOUROU;AGNIBILEKROU
AGNI RESIDENTIEL;;;;;;;ABENGOUROU;AGNIBILEKROU
AGNIMOU AGNINIKRO;;;;;;;ABENGOUROU;AGNIBILEKROU
AKOBOISSUE 1 2 3 4;;;;;;;ABENGOUROU;AGNIBILEKROU
ASSIKASSO 1 2;;;;;;;ABENGOUROU;AGNIBILEKROU
ASSUAME 1 2 ET MATERNELLE;;;;;;;ABENGOUROU;AGNIBILEKROU
AYENOU;;;;;;;ABENGOUROU;AGNIBILEKROU
BAD AGNI 1 2;;;;;;;ABENGOUROU;AGNIBILEKROU
BRINDOUKRO;;;;;;;ABENGOUROU;AGNIBILEKROU
DAME 1 2 3;;;;;;;ABENGOUROU;AGNIBILEKROU
ELVIO NICOLI;;;;;;;ABENGOUROU;AGNIBILEKROU
EMANZOUKRO;;;;;;;ABENGOUROU;AGNIBILEKROU
FRAABO;;;;;;;ABENGOUROU;AGNIBILEKROU
KANGAKRO;;;;;;;ABENGOUROU;AGNIBILEKROU
KONGODIA 1 2;;;;;;;ABENGOUROU;AGNIBILEKROU
KOTOKOSSO 1;;;;;;;ABENGOUROU;AGNIBILEKROU
KOTOKOSSO 2;;;;;;;ABENGOUROU;AGNIBILEKROU
MAIRIE NORD;;;;;;;ABENGOUROU;AGNIBILEKROU
MANZANOUAN 1 3;;;;;;;ABENGOUROU;AGNIBILEKROU
MANZANOUAN 2 4 5;;;;;;;ABENGOUROU;AGNIBILEKROU
MASSAKRO;;;;;;;ABENGOUROU;AGNIBILEKROU
MATERNELLE AGNI;;;;;;;ABENGOUROU;AGNIBILEKROU
MATERNELLE DAME;;;;;;;ABENGOUROU;AGNIBILEKROU
MATERNELLE MANZANOUAN;;;;;;;ABENGOUROU;AGNIBILEKROU
MATERNELLE SAINT JEAN;;;;;;;ABENGOUROU;AGNIBILEKROU
N DJOREKRO 1 2;;;;;;;ABENGOUROU;AGNIBILEKROU
N ZOREKRO;;;;;;;ABENGOUROU;AGNIBILEKROU
NIANDA 1 2 3 ET MATERNELLE;;;;;;;ABENGOUROU;AGNIBILEKROU
PLAWOOD;;;;;;;ABENGOUROU;AGNIBILEKROU
SIAKAKRO;;;;;;;ABENGOUROU;AGNIBILEKROU
TANKOUAKANKRO;;;;;;;ABENGOUROU;AGNIBILEKROU
YOBOUAKRO 1 2 3 4;;;;;;;ABENGOUROU;AGNIBILEKROU
AMEAKRO;;;;;;;ABENGOUROU;AMELEKIA
AMELEKIA 1;;;;;;;ABENGOUROU;AMELEKIA
AMELEKIA 2;;;;;;;ABENGOUROU;AMELEKIA
AMELEKIA 3;;;;;;;ABENGOUROU;AMELEKIA
AMELEKIA 4;;;;;;;ABENGOUROU;AMELEKIA
ANOUGBAKRO;;;;;;;ABENGOUROU;AMELEKIA
ECOLE MATERNELLE AMELEKIA;;;;;;;ABENGOUROU;AMELEKIA
ECOLE MATERNELLE KOITIENKRO;;;;;;;ABENGOUROU;AMELEKIA
ELINSO 1  ELINSO EM;;;;;;;ABENGOUROU;AMELEKIA
ELINSO 2;;;;;;;ABENGOUROU;AMELEKIA
KOITIENKRO 1;;;;;;;ABENGOUROU;AMELEKIA
KOITIENKRO 2;;;;;;;ABENGOUROU;AMELEKIA
KONANKONANKRO;;;;;;;ABENGOUROU;AMELEKIA
KOUADIOKRO AMELEKIA;;;;;;;ABENGOUROU;AMELEKIA
TAHAKRO;;;;;;;ABENGOUROU;AMELEKIA
ZEBENOU;;;;;;;ABENGOUROU;AMELEKIA
ZEBENOU 2   MATERNELLE;;;;;;;ABENGOUROU;AMELEKIA
ABRADINOU;;;;;;;ABENGOUROU;BETTIE
ADAMAKRO BETTIE;;;;;;;ABENGOUROU;BETTIE
AKA ANGHUI;;;;;;;ABENGOUROU;BETTIE
AKACOMOEKRO 1 2;;;;;;;ABENGOUROU;BETTIE
AKREBI;;;;;;;ABENGOUROU;BETTIE
AMOITTAKRO 1;;;;;;;ABENGOUROU;BETTIE
AMOITTAKRO 2;;;;;;;ABENGOUROU;BETTIE
ANEYKRO;;;;;;;ABENGOUROU;BETTIE
APPROMPRON 1 2;;;;;;;ABENGOUROU;BETTIE
APPROMPRON 3;;;;;;;ABENGOUROU;BETTIE
ATTIEKRO 1 2;;;;;;;ABENGOUROU;BETTIE
BAD BETTIE;;;;;;;ABENGOUROU;BETTIE
BETTIE 1 2;;;;;;;ABENGOUROU;BETTIE
BETTIE 3;;;;;;;ABENGOUROU;BETTIE
BETTIE SAPH;;;;;;;ABENGOUROU;BETTIE
BETTIE TERRE D AZURE;;;;;;;ABENGOUROU;BETTIE
BOROBO;;;;;;;ABENGOUROU;BETTIE
DIAMARAKRO 1 2;;;;;;;ABENGOUROU;BETTIE
DIAMARAKRO 3;;;;;;;ABENGOUROU;BETTIE
DJAHA KONANKRO;;;;;;;ABENGOUROU;BETTIE
ECOUA BENIE DE BETTIE;;;;;;;ABENGOUROU;BETTIE
HEREDOUGOU BETTIE;;;;;;;ABENGOUROU;BETTIE
KOSSONOUKRO;;;;;;;ABENGOUROU;BETTIE
MATERNELLE ABRADINOU;;;;;;;ABENGOUROU;BETTIE
MATERNELLE AKREBI;;;;;;;ABENGOUROU;BETTIE
MATERNELLE ANEYKRO;;;;;;;ABENGOUROU;BETTIE
MATERNELLE APPROMPRON;;;;;;;ABENGOUROU;BETTIE
MATERNELLE MUNICIPALE BETTIE;;;;;;;ABENGOUROU;BETTIE
MATERNELLE SAPH CENTRE;;;;;;;ABENGOUROU;BETTIE
MATERNELLE SAPH V2;;;;;;;ABENGOUROU;BETTIE
MOUSSAKRO;;;;;;;ABENGOUROU;BETTIE
N ZIKRO;;;;;;;ABENGOUROU;BETTIE
SAPH V1;;;;;;;ABENGOUROU;BETTIE
SAPH V2;;;;;;;ABENGOUROU;BETTIE
YERE YERE 2;;;;;;;ABENGOUROU;BETTIE
YSSOUFKRO;;;;;;;ABENGOUROU;BETTIE
ABRONAMOUE 1;;;;;;;ABENGOUROU;NIABLE
ABRONAMOUE 2;;;;;;;ABENGOUROU;NIABLE
ABRONAMOUE 3;;;;;;;ABENGOUROU;NIABLE
ADAMAKRO NIABLE;;;;;;;ABENGOUROU;NIABLE
ADJOUMANI KOUASSIKRO;;;;;;;ABENGOUROU;NIABLE
ADOMKRO;;;;;;;ABENGOUROU;NIABLE
AFFALIKRO 1  2;;;;;;;ABENGOUROU;NIABLE
AFFALIKRO 3;;;;;;;ABENGOUROU;NIABLE
AFFALIKRO 4;;;;;;;ABENGOUROU;NIABLE
ANGOUAKRO NIABLE;;;;;;;ABENGOUROU;NIABLE
ASSEKRO NIABLE;;;;;;;ABENGOUROU;NIABLE
BAD NIABLE 1;;;;;;;ABENGOUROU;NIABLE
BAD NIABLE 2;;;;;;;ABENGOUROU;NIABLE
BRINDOUKRO 1;;;;;;;ABENGOUROU;NIABLE
BRINDOUKRO 2;;;;;;;ABENGOUROU;NIABLE
CAMP;;;;;;;ABENGOUROU;NIABLE
DIANGOBO 1;;;;;;;ABENGOUROU;NIABLE
DIANGOBO 2;;;;;;;ABENGOUROU;NIABLE
DIANGOBO 3;;;;;;;ABENGOUROU;NIABLE
KACOU JEROME 1 2;;;;;;;ABENGOUROU;NIABLE
KOUAKOU N DRAMANKRO;;;;;;;ABENGOUROU;NIABLE
MAMPROUSSI;;;;;;;ABENGOUROU;NIABLE
MATERNELLE ABRONAMOUE;;;;;;;ABENGOUROU;NIABLE
MATERNELLE ADJOUMANI KOUASSIKRO;;;;;;;ABENGOUROU;NIABLE
MATERNELLE AFFALIKRO;;;;;;;ABENGOUROU;NIABLE
MATERNELLE ANGOUAKRO;;;;;;;ABENGOUROU;NIABLE
MATERNELLE BRINDOUKRO;;;;;;;ABENGOUROU;NIABLE
MATERNELLE DIANGOBO;;;;;;;ABENGOUROU;NIABLE
MATERNELLE KACOU JEROME;;;;;;;ABENGOUROU;NIABLE
MATERNELLE NIABLE;;;;;;;ABENGOUROU;NIABLE
MATERNELLE TRAORE ADAMAN;;;;;;;ABENGOUROU;NIABLE
MATERNELLE ZOUHOUNOU;;;;;;;ABENGOUROU;NIABLE
NIABLE ;;;;;;;ABENGOUROU;NIABLE
NIABLE 3;;;;;;;ABENGOUROU;NIABLE
NIABLE 4;;;;;;;ABENGOUROU;NIABLE
ZOUHOUNOU 1;;;;;;;ABENGOUROU;NIABLE
ZOUHOUNOU 2;;;;;;;ABENGOUROU;NIABLE
ZOUHOUNOU 3;;;;;;;ABENGOUROU;NIABLE
ADAHAMA;;;;;;;ABENGOUROU;TANGU�LAN
ADANEKRO;;;;;;;ABENGOUROU;TANGU�LAN
AGNINIKRO;;;;;;;ABENGOUROU;TANGU�LAN
